factory_name,article_count,latest_article,prevalence_child_labour,prevalence_forced_labour,prevalence_discrimination,prevalence_freedom_of_association,prevalence_working_hours,prevalence_compensation,prevalence_osh,prevalence_contracts,name_lower,os_id,name,address,lat,lng,number_of_workers,is_closed,raw_score,confidence,composite_score,risk_band,rank
Myanmar Qi Yuan,2,17/11/2024,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,myanmar qi yuan,,,,,,,,0.75,0.5235,0.3926,Medium,23
Sewell Garment Myanmar,2,09/02/2024,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,sewell garment myanmar,,,,,,,,0.75,0.5235,0.3926,Medium,24
Myanmar Zande,2,27/12/2025,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,myanmar zande,,,,,,,,0.75,0.5235,0.3926,Medium,25
GNS (Bago) Healthcare,1,14/11/2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,gns (bago) healthcare,,,,,,,,0.9375,0.4094,0.3838,Medium,26
Universal Apparel,1,23/04/2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,universal apparel,,,,,,,,0.9375,0.4094,0.3838,Medium,27
Myanmar Bag,3,07/11/2024,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,myanmar bag,,,,,,,,0.6458,0.5809,0.3751,Medium,28
Prettex Myanmar,4,18/04/2025,0.0,1.0,0.75,0.0,1.0,0.0,1.0,1.0,prettex myanmar,,,,,,,,0.5938,0.6168,0.3663,Medium,29
MYANMAR BESTEX GARMENT CO. LTD,3,05/08/2023,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,myanmar bestex garment co. ltd,MM20210260CJRKG,MYANMAR BESTEX GARMENT CO. LTD,"POLT NO.117,MYAY TAING BLOCK NO.14,SHWE THANLWIN INSDUSTRIAL ZONE,HLAING THAR YAR TOWNSHIP,YANGON, 122730166, ANGON, ",16.86344,96.04984,468,False,0.625,0.5809,0.3631,Medium,30
Ford Glory (Myanmar) Limited,3,20/09/2023,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.0,ford glory (myanmar) limited,MM20202302XNNHX,Ford Glory (Myanmar) Limited,No 42/132 Sathmu 7Th Street Shwe Pyi Thar Zone (1) Shwe Pyi Thar Township Yangon ,16.9519142,96.093737,,False,0.625,0.5809,0.3631,Medium,31
Hong Miao Garment,3,28/09/2023,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,hong miao garment,,,,,,,,0.625,0.5809,0.3631,Medium,32
Sudey Industrial Myanmar,2,11/08/2023,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,sudey industrial myanmar,,,,,,,,0.6875,0.5235,0.3599,Medium,33
Lat War Garment,2,29/02/2024,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,lat war garment,MM2024022KM44ZM,LAT WAR GARMENT,"No.B-73,Min Thatedi Kyaw Swar Street, Hlaing Tharyar Industrial Zone (3)",16.8819286,96.0573302,,False,0.6875,0.5235,0.3599,Medium,34
Myanmar Jiale Fashion Garment,1,19/10/2024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,myanmar jiale fashion garment,,,,,,,,0.875,0.4094,0.3582,Medium,35
JOC Myanmar Garment,1,11/06/2024,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,joc myanmar garment,,,,,,,,0.875,0.4094,0.3582,Medium,36
"Myanmar Dixinda Garment Co., Ltd",1,28/02/2024,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,"myanmar dixinda garment co., ltd",MM20250871ZT4S9,"Myanmar Dixinda Garment Co., Ltd","Unit 8, Plot No.E2, E3, E6, E7, E8, E9, E10, Myay Taing Block No.20, Anawrahta Industrial Zone, Hlaing Tharyar Tsp, Yangon",16.8819286,96.0573302,,False,0.875,0.4094,0.3582,Medium,37
"Dishang Kenny (Myanmar) Garment Co., Ltd",1,29/02/2024,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,"dishang kenny (myanmar) garment co., ltd",MM2020281B5FJ1V,"Dishang Kenny (Myanmar) Garment Co., Ltd","Plot No.95-96 (Ka), Myay Taing Block No (14), Min Gyi Mahar Min Gaung Street, Shwe Than Lwin Industrial Zone, Hlaingtharya Township, Yangon Region",16.86808,96.04274,,False,0.875,0.4094,0.3582,Medium,38
Star Sandar Garment,1,07/11/2024,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,star sandar garment,,,,,,,,0.875,0.4094,0.3582,Medium,39
Site 2 Yangon Factory,1,08/12/2024,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,site 2 yangon factory,MM2023159HV52NR,Site 2 Yangon Factory,"No. 44 , Mya Street, Thar Du Kan Industrial Zone, Shwe Pyi Thar Township, Yangon, Yangon",16.9753379,96.0785104,,False,0.875,0.4094,0.3582,Medium,40
Top Class,1,08/11/2023,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,top class,,,,,,,,0.875,0.4094,0.3582,Medium,41
Myanmar Tiannan Garment,1,21/11/2023,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,myanmar tiannan garment,,,,,,,,0.875,0.4094,0.3582,Medium,42
S.M Myanmar Garment,1,22/09/2023,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,s.m myanmar garment,,,,,,,,0.875,0.4094,0.3582,Medium,43
Kfine International Garment (Myanmar) Company Limited,3,14/10/2023,0.3333333333333333,1.0,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666,0.0,kfine international garment (myanmar) company limited,MM2021299RGF5T9,Kfine International Garment (Myanmar) Company Limited,"East A Wine Village Group, Oo Paing No (1/1. Ka). Kwin/ Akwat And Name. 652 Ga, Bago Town-, Bago, Bago, ",17.3858397,96.4967723,1001-5000|1001-5000,False,0.6042,0.5809,0.351,Medium,44
Hanfex Garment,2,24/02/2026,0.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,hanfex garment,,,,,,,,0.6562,0.5235,0.3435,Medium,45
Rainbowtec Myanmar,1,29/02/2024,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,rainbowtec myanmar,,,,,,,,0.8125,0.4094,0.3326,Medium,46
Hige Fashion Accessories (Myanmar),1,05/02/2024,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,hige fashion accessories (myanmar),,,,,,,,0.8125,0.4094,0.3326,Medium,47
Heng Li Garment,1,08/08/2024,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,heng li garment,,,,,,,,0.8125,0.4094,0.3326,Medium,48
Karisma Apparel (Myanmar) Company Limited,1,17/11/2023,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,karisma apparel (myanmar) company limited,MM2019107MJ7QM6,Karisma Apparel (Myanmar) Company Limited,"Plot No.18,19,20, Near Yangon-Mandalay Main Road, Nyaung Inn Village, Bago Industrial Complex (Foreign Industrial Zone), Bago Region, Myanmar",17.2549229,96.4553415,1406,False,0.8125,0.4094,0.3326,Medium,49
Dishang Fashion (Myanmar) Co Ltd ,7,31/07/2025,0.0,0.2857142857142857,0.5714285714285714,0.5714285714285714,1.0,1.0,0.7142857142857143,0.2857142857142857,dishang fashion (myanmar) co ltd,MM2022145VCQGG8,Dishang Fashion (Myanmar) Co Ltd ,"Plot No.96 (Kha), Myay Taing Block No.14, Mingyi Mahar Mingaung street, Shwe Than Lwin Industrial Zone, Hlaingtharya Township, Yangon",16.86808,96.04274,1-1000|1-1000|1155|1-999,False,0.4911,0.6753,0.3316,Medium,50
LZS Apparel,2,30/01/2026,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,lzs apparel,,,,,,,,0.625,0.5235,0.3272,Medium,51
Lon John International,2,30/11/2023,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,lon john international,,,,,,,,0.625,0.5235,0.3272,Medium,52
Synergy Garment,2,28/02/2024,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,synergy garment,,,,,,,,0.625,0.5235,0.3272,Medium,53
Kingsrich Myanmar Fashion Company Limited,3,27/06/2024,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,kingsrich myanmar fashion company limited,MM2019107F9Z67J,Kingsrich Myanmar Fashion Company Limited,"Plot No.1,2,3, Myay Taing Block No.39 (Sethmu), Yay Pyar Street, Shwepyitha Industrial Zone, Shwe Pyi Tha Township, Yangon Region, Myanmar",16.9436675245285,96.0694383395892,2001-2500|2001-2500|1501-2000|1501-2000|1501-2000|1001-2000|1001-2000|1001-2000|1001-2000|1001-2000|1001-2000|1001-2000|1001-2000,False,0.5417,0.5809,0.3147,Medium,54
Hang Kei Myanmar,2,18/03/2025,0.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,hang kei myanmar,,,,,,,,0.5938,0.5235,0.3109,Medium,55
"MYANMAR BESTFORTUNE GARMENT CO.,LTD",2,25/12/2025,0.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,"myanmar bestfortune garment co.,ltd",MM20240537G470C,"MYANMAR BESTFORTUNE GARMENT CO.,LTD","PLOT NO.29, MYAY TAING BLOCK NO.51, THAR DU KAN INDUSTRIAL ZONE,SHWE PYI THAR TOWNSHIP,11411,Yangon,Myanmar",16.9441383,96.083571,,False,0.5938,0.5235,0.3109,Medium,56
Handa (Yangon) Garment CoLtd,2,20/05/2025,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,handa (yangon) garment coltd,MM2019083FFBXWK,Handa (Yangon) Garment CoLtd,Plot No. 288 Myay Taing Block No 25 Shwe Lin Pan Industrial Zone Hlaing Thar Yar Township Yangon,16.9190473,96.0738296,881|881,False,0.5938,0.5235,0.3109,Medium,57
"Myanmar Yangon Richang Apparel Co., Ltd (NISHO)",2,24/02/2026,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,"myanmar yangon richang apparel co., ltd (nisho)",MM2025087T4TXPX,"Myanmar Yangon Richang Apparel Co., Ltd (NISHO)","230, U Yin Baw Street, Shwe Lin Ban Industrial Zone, Hlaingtharya, Yangon",16.914015,96.0652719,,False,0.5938,0.5235,0.3109,Medium,58
Suntime JCK Co.,1,04/04/2024,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,suntime jck co.,,,,,,,,0.75,0.4094,0.307,Medium,59
"Myanmar Nyunt Co., Ltd",1,07/05/2024,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"myanmar nyunt co., ltd",MM2025087Z85211,"Myanmar Nyunt Co., Ltd","106/108, 93th St, Kan Daw Kalay (east), Mingalar Taungnyunt, Yangon",16.7874914,96.1712596,,False,0.75,0.4094,0.307,Medium,60
"Maha Yadana Manaung Co., Ltd",1,08/08/2024,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"maha yadana manaung co., ltd",MM2025087C4M12S,"Maha Yadana Manaung Co., Ltd","15, 3rd Floor, Nawady Street, Fantastic Condo, Yaw Min Gyi Ward, Dagon, Yangon",16.7836508,96.1555178,,False,0.75,0.4094,0.307,Medium,61
Yangon Panatex Apparel Company Limited.,1,01/10/2024,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,yangon panatex apparel company limited.,MM2025087FVENJH,Yangon Panatex Apparel Company Limited.,"Land No (4), Thardukan Road, Survey Block Nga/12, Thar Du Kan Industrial Zone, Shwe Pyi Thar Township, Yangon.",16.9845706,96.0922922,,False,0.75,0.4094,0.307,Medium,62
"Myanmar Makro Industry Co., Ltd",1,25/12/2025,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"myanmar makro industry co., ltd",MM2025087HXKTV8,"Myanmar Makro Industry Co., Ltd","No.82, Myamarlar Street, Industrial Zone, Tharketa Township, Yangon., Tharketa, Yangon",16.8080032,96.1979734,,False,0.75,0.4094,0.307,Medium,63
