os_id,name,address,lat,lng,number_of_workers,parent_company,facility_type,product_type,is_closed,name_lower
MM2019083KGNQDD,"Tianjin Fashion Origin Co., Ltd.","Site 1: No. 509, Kyan Sittar Road, Shwe Lin Ban Industrial Zone, Hlaing Tharyar",16.9098501,96.0682126,,,,Coat|Warm Clothing (Men & Women)|Clothing|Shirt (Men),False,"tianjin fashion origin co., ltd."
MM2019083KT7YHM,Hung Kiu  (Myanmar) Garment Manufacturing Ltd. ,"Plot No.35-9, Yangon - Mandalay Highway Road, Intagaw Village, Inntakaw Industrial Zone, Bago Township, Bago Region, Myanmar",17.1884995,96.3917473,2501-3000|2501-3000|2501-3000|2501-3000|2501-3000|2001-4000|2001-4000|2001-4000|2001-4000|2001-4000|2001-4000|2001-4000|2001-4000,,,,False,hung kiu  (myanmar) garment manufacturing ltd.
MM2019083MB0CGC,J-Land Myanmar Company Limited,No 8 Myay Tine Quarter No  49 Hlaw Gar Street War Ta Yar Industrial Zone Shwe Pyi Thar Township Yangon  11411,16.9991113,96.0564672,,,,Jackets,False,j-land myanmar company limited
MM2019083NR7C0H,Kamcaine Manufacturing ( Myanmar) Co Ltd,No186 Lay Thar Yar Industrial Park 2 Yangon,16.8439163,96.0721027,1001-1500|971|501-1000|1230,"Zhejiang Zhongda Newtex Co., Ltd.",Final Product Assembly|Final Product Assembly,Woven,False,kamcaine manufacturing ( myanmar) co ltd
MM2019083QG739B,"Lian Cheng Co., Ltd.","Plot No. 149 Hlaing Tharyar Industrial Zone, Hlaing Tharyar Township, Yangon",16.8586554,96.072067,,,,,False,"lian cheng co., ltd."
MM2019083QTWH8Q,Yoo Win Manufacturing Company Limited,No (17) Phan Chat Wun U Shwe Owe Street Industrial (2) Hlaing Thar Yar Township Yangon,16.8557123,96.0720837,501-1000|501-1000|501-1000,,Final Product Assembly|Final Product Assembly|Final Product Assembly|Final Product Assembly|Final Product Assembly,clothing|Garments|fashion apparel|Jeans Pants|Garments| fashion apparel| clothing,False,yoo win manufacturing company limited
MM2019083R4Z14H,Su Yu Ei Company Limited,"No. 15, Yangon-Pyay Road, Sat Thwar Daw Ward, Hmawbi Township, Yangon, Myanmar",16.8190607,96.1328098,,,,Shirt (Men)|Pantss,False,su yu ei company limited
MM2019083RCCK6T,Myanmar Jiale 1 Fashion Company Limited,"Min Aye Yar Road, 13, Shwe Than Lwin Industrial Zone  Hlaing Tharyar Township Yangon Yangon",16.8651794,96.033996,964|964|1001-1500|1001-1500|501-1000|501-1000|501-1000|501-1000|501-1000|501-1000|501-1000|501-1000|501-1000,,,Garments,False,myanmar jiale 1 fashion company limited
MM2019083TMN7JD,"AIT (Myanmar) Manufacturing Co., Ltd","Plot No. 46, Myay Taing Block No.112, Toe Chae (Kha), Min Ye' Kyaw Swar Road,  East Dagon Industrial Zone, East Dagon Myo Thit Township, Yangon Region, Myanmar",16.9038808,96.2211959,1001-1500|1001-1500|1430,"HANGZHOU DRAGON STAND APPAREL DESIGN CO., LTD",Final Product Assembly,Flat Knit|Legging|Knitting wears,False,"ait (myanmar) manufacturing co., ltd"
MM2019083XCZ700,Perfect Gains Garments Manufacturin,"Ngwe Pin Lal 2nd Street, 44, Ngwe Oin Lal Industrial Zone  Hlaing Tharyar Township Yangon Yangon",16.9310002,96.0611664,,,,Underwear|Swim Suit,False,perfect gains garments manufacturin
MM2019083XW0F6Z,"Great Glowing Investment Co., Ltd.","Plot No. 340-341 Yangon Industrial Zone, Mingaladon Garden Township,Yangon",16.9589945,96.1760145,2001-5000|2279,,,Fashion,False,"great glowing investment co., ltd."
MM2019083YH8AYG,Landson Myanmar Garment Company Limited,"Plot No (131), Myay Taing Block No (51), Thar Du Kan Industrial Zone, Shwe Pyi Thar Township, Yangon.",16.9894573,96.0890064,51-500|856|501-1000|856|501-1000,,"Final Product Assembly|Final Product Assembly|Final Product Assembly|Final Product Assembly|Final Product Assembly|Textile or Material Production|Printing, Product Dyeing and Laundering|Final Product Assembly|Final Product Assembly|Final Product Assembly|Final Product Assembly|Final Product Assembly",Sweater,False,landson myanmar garment company limited
MM2019083YY521N,Jiangsu Soho (Myanmar) Industry Co Ltd,No. 95  Yaw Atwin Wun U Phoe Hlaing Streety Shwe Lin Ban Industrial Zone Hlaing Thar Yar Township Yangon,16.9082186,96.0553832,806|806|1040|987|1040|777,,Final Product Assembly,Pants|Jackets,False,jiangsu soho (myanmar) industry co ltd
MM2019083Z1NPGC,Kittenish Knitting Co Ltd (No 2),No 73 Kanaung Min Thar Gyi Street Industrial Zone 3 Shwe Pyi Thar Ts Yangon,16.91864,96.08541,,,,,False,kittenish knitting co ltd (no 2)
MM2019083Z8DP72,"Myanmar Long Sheng Fashion Co., Ltd. ","Plot No.229, Kanaung Min Thar Gyi Street, Hlaingtharya Industrial Zone (2), Hlaingtharya Township, Yangon Region, Myanmar",16.84965,96.07984,1001-5000|1001-5000|1000-5000|1000-4999,HongKong Rifeng FASHION CO LTD|HongKong Rifeng FASHION CO LTD,Textile or Material Production|Textile or Material Production,Jackets,False,"myanmar long sheng fashion co., ltd."
MM2019083Z9C1T0,Great Forever Garment Co Ltd,"Plot No.41-B, Kanaung Min Thar Gyi Street, Hlaingtharya Industrial Zone (1), Hlaingtharya Township, Yangon Region, Myanmar",16.849833,96.079765,,,"Final Product Assembly|Final Product Assembly|Printing, Product Dyeing and Laundering|Textile or Material Production|Final Product Assembly|Printing, Product Dyeing and Laundering|Final Product Assembly",woven pant (Men & Women/kids)|Jean Pants,False,great forever garment co ltd
MM2019087DJ4RTA,Takashima Sports Company Ltd,"No.80 Ayeyarwaddy Street, Shwe Than Lwin Industrial Zone, Hlaing Thar Yar Township, Yangon, 11401, Myanmar",16.86462,96.0403874,213|213,Leosports PTE Limited,,Apparel|Glove,False,takashima sports company ltd
MM2019087FVFW0A,Eslite Garment Company Ltd,No.177 Maung Kyan Tee Street Myay Taung Quarter No.25 Shwe Lin Ban Industrial Zone Hlaing Thar Yar T/S Yangon Myanmar 11401,16.917491,96.0629083,1000|1000|1957|1000-16000,,,Pants|Jackets,False,eslite garment company ltd
MM20190910E0DR3,"Myanmar Huayi Co., Ltd.","Plot No.39-40, Min Theiddi Kyaw Swar Street, Shwe Lin Ban Industrial Zone, Hlaingtharya Township, Yangon Region",16.91927,96.05716,,,,Long Jackets|Coat,False,"myanmar huayi co., ltd."
MM20190911DDDA2,Sanyuan (Myanmar) Apparel Mfg Company Limited,"Plot No. 87, Myay Taing Block No. 14, Shwe Thanlwin Industrial Zone, Hlaing Thar Yar Township, Yangon, Myanmar",16.8617373571864,96.0476906402718,,,,Warm Coat,False,sanyuan (myanmar) apparel mfg company limited
MM20190913EVH7M,Fook Hing (Shwekhayu) Ltd.,"Plot No. 45, May Kha Street, Shwe Than Lwin Industrial Zone, HlaingtharyaTownship, Yangon Region, Myanmar",16.8685,96.0388,1437|1677,,,Pants|Underwear|Kids underwear|Brief (Men),False,fook hing (shwekhayu) ltd.
MM20190913T4KKQ,Seinus Cliq Fashion Co. Ltd,No. 21 Yangon Industrial Zone Mingalardon Township Yangon,16.9969497,96.1420947,,,,,False,seinus cliq fashion co. ltd
MM2019091BM3F23,"Best Hubo Co., Ltd.","Plot No. 7,8, Kin Wun Min Gyi Street, Myay Taing Block No. 65, Shwepyithar Industrial Zone (4), Shwepyithar Township, Yangon Region, Myanmar",16.9286842764683,96.0815006873784,,,,Pants|Viscose|T shirt,False,"best hubo co., ltd."
MM2019091KSB54G,"Hakers Enterprise (Myanmar) Co., Ltd.","Plot No.52,P-3, Myay Taing Block No.13, Pathein Industrial Zone, Pathein Township, Ayeyarwaddy Region, Myanmar",16.79563,94.77111,1652,,,Pants|Jackets,False,"hakers enterprise (myanmar) co., ltd."
MM2019091WT40CP,Supreme Asia Garment Factory Ltd.,Block No. 42 Plot No. 33/40 Inkyinn Myaing Street Industrial Zone 1 Shwe Pyi Tha Township Yangon,16.947672,96.0946236,,,,Underwear,False,supreme asia garment factory ltd.
MM20190971RGG2H,Mila Garden Company Ltd.,"Plot No.14-1, 14-2, 14-3, 14-4, 14-5, 39-6, Myay Taing Block No.1038, Hneg Tpyaw Taw Kwin, Near Hlegu-Sartalin Road, Pyi Taw Thar Ward, Hlegu Township, Yangon Region, Myanmar",17.09616,96.23305,,Li Sing International Ltd,,,False,mila garden company ltd.
MM20191071V6KY1,Trinity Apparels Ltd.,"Plot no-169, U Ta Yoke Gyi Street, Industrial Zone(4), HIaing Thar yar Township, 11401, Yangon, Myanmar",16.8568376,96.0601558,,,,T shirt|Underwears,False,trinity apparels ltd.
MM2019107253DPV,"DONGYUAN RICHLAND FASHION (MYANMAR) CO., LTD.","Plot No.53/D, 1002, Hlegu - Phaung Gyi Road, Mi Chaung Aing Kwin, Kyaukkadin Village Tract, Hlegu Township, Yangon Region, Myanmar",17.16608,96.22847,,,,,False,"dongyuan richland fashion (myanmar) co., ltd."
MM20191072D7HM9,"Keys Shine Co.,Ltd.","No. 4 Kyaukse Industrial Zone, Kyaukse Township, Mandalay Region, 05151, Kyaukse Township, Myanmar",21.6122121,96.1515093,3001-3500|3001-3500|3001-3500|3001-3500|3001-3500|2001-4000|2001-4000|2001-4000|2001-4000|2001-4000|2001-4000|2001-4000|2001-4000,,,,False,"keys shine co.,ltd."
MM20191072N88J7,"Textile palace Co.,ltd","Block NO.(327-329) Myaung Takar industrial Zone,Hmaw Be Township Yangon Myanmar., 200000, Yangon, Myanmar",16.8234877,96.1582526,1288|1001-1500|1001-1500|1001-1500|1001-1500|1001-1500|1001-2000|1-500|1-500|1-500|1288,,,Knitting wears,False,"textile palace co.,ltd"
MM20191073DB8WD,"MYANMAR TAIEASY TEXTILE (MTT)CO.,LTD","Address: No.(342,3/344),7th Street, Yangon Industrial Zone, Mingaladon Townsh, 999091, Yangon, Myanmar",16.9969497,96.1420947,999,,,Clothing,False,"myanmar taieasy textile (mtt)co.,ltd"
MM20191074AMR9H,"Polly HK (Myanmar) Co.,Ltd","NO.25, Na Wa Day Mingyi Street, Shwe Lin Pan Industrial Zone, Hlaing Thar Yar, N/A, Yangon, Myanmar",16.8616182,96.0687906,1-100|1-100|1-100|1-100|1-100|1-500|1-500|1-500|1-500|1-500|1-500|1-500|1-500,,"Printing, Product Dyeing and Laundering",,False,"polly hk (myanmar) co.,ltd"
MM20191074NH1WN,Global Apparel Textile (Myanmar) Manufacturing Co. Ltd,"Kyan Sit Thar lane, Eik Si Dan Industrial Zone, Dagon Myothit (South) Township, Yangon Region, Yangon, Myanmar",16.8845406,96.239657,,,,,False,global apparel textile (myanmar) manufacturing co. ltd
MM20191075EYNF3,Honor Apparel Limited,"Plot No.113-B, Myay Taing Block No.64, Pearl Street, Industrial Zone (3), Shwepyithar Township, Yangon Region, Myanmar",16.9355378817764,96.0869840307722,847,,,Dresses,False,honor apparel limited
MM20191075VKD0E,"Style Fashion Accessories (Myanmar) Co., Ltd","No. 182, Mgkyan Thee St. ShweLinBan Industrial Zone, 6000, Yangon, Myanmar",16.8949478,96.0704015,,,,Hat|Gloves,False,"style fashion accessories (myanmar) co., ltd"
MM20191076Z11K8,Mega One Garment,"Plot No.32, Shwe Myoe Daw Pagoda Road, Yangon Industrial  Zone, Mingaladon Township, Yangon Region, Myanmar",16.94442,96.17899,,,,Clothing,False,mega one garment
MM201910778H35P,Myanmar Knitting Factory Ltd.,"Plot No.57-A, Myay Taing Block No.13, Near Myo Pat Road, Pathein Industrial Zone, Pathein Township, Pathein District, Ayeyarwady Region, Myanmar",16.7931155,94.7758902,4969|4969,,,,False,myanmar knitting factory ltd.
MM20191077RCCFM,MYANMODE Company Limited,"Plot No. 504, Yaw Atwin Wun U Phoe Hlaing Street, Shwe Lin Ban Industrial Zone, Hlaingtharya Township, Yangon Region, Myanmar",16.9059737,96.195132,,,,Warm Coat,False,myanmode company limited
MM201910780NN99,S.H.UNITED COMPANY LIMITED,"No(72/73/104/105),Matkhayar Minthargyi Maung Pyo Road,, 0, Yangon, Myanmar",16.8497944,96.0743979,,,,Pants|Jackets,False,s.h.united company limited
MM2019107C7Z0NN,"Wan He Garment Co., Ltd","Plot No(56+57+58) Block No(630/Hle Ngoke Chaung),, 0, Yangon, Myanmar",16.8660694,96.19513200000002,4001-4500|4001-4500|5001-5500|5001-5500|5001-5500|2001-4000|2001-4000|2001-4000|2001-4000|2001-4000|2001-4000,"Wan He Garment Co., Ltd|Wan He Garment Co., Ltd",,Pants|T shirt|Sweat Pant Knit|Sweater,False,"wan he garment co., ltd"
MM2019107F9Z67J,Kingsrich Myanmar Fashion Company Limited,"Plot No.1,2,3, Myay Taing Block No.39 (Sethmu), Yay Pyar Street, Shwepyitha Industrial Zone, Shwe Pyi Tha Township, Yangon Region, Myanmar",16.9436675245285,96.0694383395892,2001-2500|2001-2500|1501-2000|1501-2000|1501-2000|1001-2000|1001-2000|1001-2000|1001-2000|1001-2000|1001-2000|1001-2000|1001-2000,,,,False,kingsrich myanmar fashion company limited
MM2019107GKNQYV,Myanmar Sumec Winwin Garments Company Limited,"Plot no (14,15,16), Myay Taing block no (65 sethmu), kin wun min gyi street, Shwepyithar Zone (4), Yangon, Myanmar",16.9315978651244,96.0847435029869,,,,,False,myanmar sumec winwin garments company limited
MM2019107KX7P3Y,"Champion Winner Industry Co.,Ltd","No.255, Industry Road, Wartayar Industrial Zone, Shwepyithar Tsp, Yangon, 0, Yangon, Myanmar",16.9763697,96.0637782,1-100|1-100|1-100|1-100|1-100|1-500|1-500|1-500|1-500|1-500|1-500|1-500|1-500,"Champion Winner Industry Co.,Ltd|Champion Winner Industry Co.,Ltd",,,False,"champion winner industry co.,ltd"
MM2019107MJ7QM6,Karisma Apparel (Myanmar) Company Limited,"Plot No.18,19,20, Near Yangon-Mandalay Main Road, Nyaung Inn Village, Bago Industrial Complex (Foreign Industrial Zone), Bago Region, Myanmar",17.2549229,96.4553415,1406,,,Kid Wear,False,karisma apparel (myanmar) company limited
MM2019107MZ33MV,Tristate Myanmar Co. Ltd,"Pyin Ma Bin Industrial Park, Htauk Kyant, Mingalardon Tsp., 11181, Yangon, Myanmar",16.9926645,96.1327984,1200|876|1200,,,Pants|Skirt|Jackets|Dresses,False,tristate myanmar co. ltd
MM2019107N61Y3B,Saung Oo Shwe Nay (Golden Sunshine) Company Limited,"Plot No.34-35, Block No.24, Ngwe Pin Lae Middle Street, Ngwe Pin Lae Industrial Zone, Hlaingtharya Township, 11401, Yangon Region, Myanmar",16.9268661,96.0605508,3001-3500|3001-3500|3001-3500|3001-3500|3001-3500,,,Pants|Jackets,False,saung oo shwe nay (golden sunshine) company limited
MM2019107NBZC92,ShinSung Tongsang Int'l Co.Ltd,"No. 365, Daw Phwar Shin Road, Shwe Lin Pan Industrial Zone,, 11181, Yangon, Myanmar",16.914015,96.0652719,2483|2483,,,,False,shinsung tongsang int'l co.ltd
MM2019107Q5TS41,MINGALAR SUMBIRI GARMENT CO. LTD.,"Plot No.27, No.3-Highway Road, Yangon Industrial Zone, Zay Gabar Compound, Mingaladon Township, Yangon Region, Myanmar",16.94551,96.17524,,,,,False,mingalar sumbiri garment co. ltd.
MM2019107QMWHCJ,New Green Land Garment Company Limited,"No.44,No.3 Road, Pyinmabin Industrial Zone,Htauk Kyunt,Mingalardon Tsp,, N/A, Yangon, Myanmar",17.0455689,96.1599378,,,,Pantss|Jackets|Shirt,False,new green land garment company limited
MM2019107RDPWCH,Myanmar Wise-Pacific Apparel Bago Company Ltd,"Inndagaw Industrial Complex, 08016, Inndagaw Township, Myanmar",17.1839491,96.3704778,,,,,False,myanmar wise-pacific apparel bago company ltd
MM2019107V6E8X2,DONGYI(MYANMAR) COMPANY LIMITED,"Plot No. 130, Myay Taing Block No. 51, Thar Du Kan Industrial Zone, Shwe Pyi Thar Township, Yangon Region, Myanmar.",16.99061633602,96.0893864553899,,,,Suit|Skirt|Vest|Pants|Jackets,False,dongyi(myanmar) company limited
MM2019107X0TV11,"Myanmar You He(Advanced Technology)Niche Embroidery Co.,ltd","No(326/327)Ka Naung Min Thar Gyi Street,Shwe Lin Ban Industrial Zone, 11401, Yangon, Myanmar",16.914015,96.0652719,101-500|101-500|1-100|1-100|1-100|1-500|1-500|1-500|1-500|1-500|1-500|1-500|1-500,,,,False,"myanmar you he(advanced technology)niche embroidery co.,ltd"
MM2019107YKG8E5,Myanmar Xiang Rui Fashion Company Limited,"Plot No. 51 (152), Oaktha Pha Yar Road, Thardukan Industrial Zone, Shwepyithar Township, Yangon Region, Myanmar  ",16.9882262667205,96.0840072311525,670|724,BUTTRESS INTERNATIONAL TRADING CO. LTD.,Final Product Assembly,,False,myanmar xiang rui fashion company limited
MM2019107ZXEFNW,Modern Era Handbags Co Ltd,"Plot No.45-Ka-Kha, Myay Taing Block No.42,Kanaung Mingthar Gyi Street, Shwepyithar Industrial Zone (1), Shwepyithar Township,  Yangon Region, Myanmar",16.94434,96.09524,,,,,False,modern era handbags co ltd
MM2019108WW2B9X,Yangon Pan-Pacific International Company Limited," Plot No. 29/1 Kamarkyi Road, Thuwunna Thingangyun Township, Yangon, Myanmar, 11071",16.8182067427385,96.2145068660708,1000,,,Outdoorwear|Pants|Jackets,False,yangon pan-pacific international company limited
MM20191434TK7FN,Thong Thai Textile (Myanmar) Company Limited,"Plot No.175, Pan Be Kaung Mg Khet Street, Hlaingtharya Industrial Zone (1), Hlaingtharya Township, Yangon Region, Myanmar",16.8373805,96.0823483,,,,,False,thong thai textile (myanmar) company limited
MM20191439MJYB6,Myanmar Pou Chen Company Limited,"No.112/121, No.4 High Way Road,  Thardu Kan Industrial Zone Shwe Pyi Thar Township Yangon 11411 Yangon Myanmar",16.993594,96.0906808,5335,Pou Chen Group,,Footwear,False,myanmar pou chen company limited
MM2019143C1S0G4,Shyang Peng Cheng Co. Ltd  (SHB),"No.(9/3,41,42,52) Kwin No.(620-Ka) West Maekhone Steet, Maekhone Village  Bago 8011 Bago Myanmar",17.360312,96.4553371,2442,,,,False,shyang peng cheng co. ltd  (shb)
MM2019143VZ493R,"Bago Sports Gloves Co., Ltd","Plot-32, Bago-Tite Kyi Road,Foreign Industrial Area, Nyang Inn Village ,Bago,Bago",17.2487629,96.4600046,933|723|721,Naigai Co Ltd|Naigai Corporation,,,False,"bago sports gloves co., ltd"
MM2019158D42E4S,ZKG Asia Limited,No.50 Shwe Myodaw Zaydi Street Mingalardon Garden Park Yangon Industrial Zone Mingalardon Township Yangon Myanmar,16.9293855,96.1168626,,Janning Limited,,Apparel|Pants|Jackets,False,zkg asia limited
MM201917282ACQ7,Fidelity Garment Manufactory (International) Ltd,"Plot No 125/126, Myay Taing Block No 51, Thar Du Kan Industrial Zone, Shwe Pyi Thar Township Yangon Mandalay 11181",16.9887272,96.0894256,,,,,False,fidelity garment manufactory (international) ltd
MM2019172ARHNG8,"Myanmar Magic Link Co., Ltd.","Plot No. 11, Pakokku-Myaing Street, Textile Garment Factory, Pakokku Township, Magway Region, Myanmar",21.3487198,95.0680029,,,,,False,"myanmar magic link co., ltd."
MM2019172EFYFB5,Ti Garment,"Plot No. D4, Mingaladon Industrial Park, Corner Of No. 3 Highway & Khayebin Road Mingaladon Township Yangon 11021",17.0455689,96.1599378,,,,Shirt,False,ti garment
MM2019172K7EG9H,Hengyu Amber Stone Company Ltd,"Plot No. 48, Hlaing Htar Yar Industrial Zone (2), Hlaing Thar Yar Township, Yangon Region Yangon Mandalay 11181",16.853398,96.07974,,,,,False,hengyu amber stone company ltd
MM201917604MGJE,Mec Embroidery,"Plot No.8-1-14, Kone Baung 2nd Street, Hlaingtharya Industrial Zone (7),  Hlaingtharya Township, Yangon Region, Myanmar",16.87918,96.08073,,,,,False,mec embroidery
MM20191760ZYM38,All Ace Industrial,"No. 247, Saya Shan Street, Shwe Lin Ban Industrial Zone, Hlaingtharya Township, Yangon Region, Myanmar",16.9144913,96.0689512,,,,,False,all ace industrial
MM20191761AJ6MB,"Sun Apparel Myanmar Co.,Ltd. Sam 3","Plot No. 122/124, Wutmasute Won Htaut Street, Industrial Zone 3, Shwe Pyi Thar Township Yangon Yangon ",16.9753379,96.0785104,,,,,False,"sun apparel myanmar co.,ltd. sam 3"
MM20191763NN8CN,Myanmar York Fashion Company Limited ,"Plot No.168, Kyansithar Street, Hlaingtharya Industrial Zone (4), Hlaingtharya Township, Yangon Region, Myanmar",16.8455937,96.2123489,1000-4999|1001-5000|1001-5000|2|1000-5000|2001-2500|2001-2500|2001-2500|2001-2500|2001-2500|2001-4000|2001-4000|2001-4000|2001-4000|2|1000-5000|2001-4000|2001-4000|2001-4000|2001-4000,Bright Sunshine Intern. Co.Ltd (old: Nova Palm Group)|Bright Sunshine Intern. Co.Ltd |Bright Sunshine Intern. Co.Ltd (old: Nova Palm Group),Textile or Material Production|Textile or Material Production|Textile or Material Production,Pants|Jackets,False,myanmar york fashion company limited
MM2019176G6F0QG,China Profit Washing Co. Ltd.,"Plot No.21, Hlay Thinn Atwin Wun U Chein Street, Hlaingtharya Industrial Zone (2), Hlaingtharya Township, Yangon Region, Myanmar",16.857686,96.075553,,,,,False,china profit washing co. ltd.
MM2019176R5WXCP,"Diamond Co., Ltd.","Plot No.327, Makhayarminthargyi Road, Shwe Pauk Kan Industrial Zone, North Okkalapa Township, Yangon Region, Myanmar",16.933876,96.1728681,,,,,False,"diamond co., ltd."
